_id,chi,date,domanda_id,messaggio,nome
641429d0aeb122aaa608c602,rontinim@gmail.com,2023-03-17T08:50:24.877Z,12,Risposta Alla Domanda Chiusa,sdfgb
64142b74aeb122aaa608c604,rontinim@gmail.com,2023-03-17T08:57:24.636Z,12,Risposta Alla Domanda Chiusa,sdfgb
64142c1daeb122aaa608c606,rontinim@gmail.com,2023-03-17T09:00:13.452Z,12,Risposta Alla Domanda Chiusa,sdfgb
64142c97aeb122aaa608c607,rontinim@gmail.com,2023-03-17T09:02:15.358Z,12,Risposta Alla Domanda Chiusa,sdfgb
64142cd3aeb122aaa608c608,rontinim@gmail.com,2023-03-17T09:03:15.982Z,13,Risposta Alla Domanda Chiusa,3
64142ceaaeb122aaa608c609,rontinim@gmail.com,2023-03-17T09:03:38.138Z,13,Risposta Alla Domanda Chiusa,3
64142d30aeb122aaa608c60a,rontinim@gmail.com,2023-03-17T09:04:48.631Z,13,Risposta Alla Domanda Chiusa,3
64142d4baeb122aaa608c60b,rontinim@gmail.com,2023-03-17T09:05:15.597Z,12,Risposta Alla Domanda Chiusa,ROSSE
64142ee8aeb122aaa608c60c,rontinim@gmail.com,2023-03-17T09:12:08.758Z,12,Risposta Alla Domanda Chiusa,
64142ee8aeb122aaa608c60d,rontinim@gmail.com,2023-03-17T09:12:08.850Z,12,Risposta Alla Domanda Chiusa,
64142ee8aeb122aaa608c60e,rontinim@gmail.com,2023-03-17T09:12:08.914Z,12,Risposta Alla Domanda Chiusa,
64142f1caeb122aaa608c60f,rontinim@gmail.com,2023-03-17T09:13:00.638Z,12,Risposta Alla Domanda Chiusa,
64142f1caeb122aaa608c610,rontinim@gmail.com,2023-03-17T09:13:00.750Z,12,Risposta Alla Domanda Chiusa,
64142fa2aeb122aaa608c611,rontinim@gmail.com,2023-03-17T09:15:14.477Z,12,Risposta Alla Domanda Chiusa,
64142fa2aeb122aaa608c612,rontinim@gmail.com,2023-03-17T09:15:14.555Z,12,Risposta Alla Domanda Chiusa,
64142fa5aeb122aaa608c613,rontinim@gmail.com,2023-03-17T09:15:17.044Z,12,Risposta Alla Domanda Chiusa,
64142fa5aeb122aaa608c614,rontinim@gmail.com,2023-03-17T09:15:17.122Z,12,Risposta Alla Domanda Chiusa,
64143000aeb122aaa608c615,rontinim@gmail.com,2023-03-17T09:16:48.182Z,12,Risposta Alla Domanda Chiusa,
64143000aeb122aaa608c616,rontinim@gmail.com,2023-03-17T09:16:48.259Z,12,Risposta Alla Domanda Chiusa,
64143001aeb122aaa608c617,rontinim@gmail.com,2023-03-17T09:16:49.148Z,12,Risposta Alla Domanda Chiusa,
64143001aeb122aaa608c618,rontinim@gmail.com,2023-03-17T09:16:49.270Z,12,Risposta Alla Domanda Chiusa,
64143001aeb122aaa608c619,rontinim@gmail.com,2023-03-17T09:16:49.569Z,12,Risposta Alla Domanda Chiusa,
64143001aeb122aaa608c61a,rontinim@gmail.com,2023-03-17T09:16:49.682Z,12,Risposta Alla Domanda Chiusa,
64143002aeb122aaa608c61b,rontinim@gmail.com,2023-03-17T09:16:50.181Z,12,Risposta Alla Domanda Chiusa,
64143002aeb122aaa608c61c,rontinim@gmail.com,2023-03-17T09:16:50.293Z,12,Risposta Alla Domanda Chiusa,
64143003aeb122aaa608c61d,rontinim@gmail.com,2023-03-17T09:16:51.226Z,12,Risposta Alla Domanda Chiusa,
64143003aeb122aaa608c61e,rontinim@gmail.com,2023-03-17T09:16:51.304Z,12,Risposta Alla Domanda Chiusa,
64143003aeb122aaa608c61f,rontinim@gmail.com,2023-03-17T09:16:51.860Z,12,Risposta Alla Domanda Chiusa,
64143004aeb122aaa608c620,rontinim@gmail.com,2023-03-17T09:16:52.003Z,12,Risposta Alla Domanda Chiusa,
6414308eaeb122aaa608c621,rontinim@gmail.com,2023-03-17T09:19:10.131Z,12,Risposta Alla Domanda Chiusa,
6414308eaeb122aaa608c622,rontinim@gmail.com,2023-03-17T09:19:10.198Z,12,Risposta Alla Domanda Chiusa,
6414308eaeb122aaa608c623,rontinim@gmail.com,2023-03-17T09:19:10.714Z,12,Risposta Alla Domanda Chiusa,
6414308eaeb122aaa608c624,rontinim@gmail.com,2023-03-17T09:19:10.936Z,12,Risposta Alla Domanda Chiusa,
